"Run" "Item" "FourPicsOnset" "CueOnset" "Cue" "ToBeIgnored" "ProbePicOnset" "Probe" "Jitter" "Response" "RT" "Accuracy" "sim"
7 1 10 14 "Faces" "Scenes" 24 "Mismatch" 4500 2 1492 1 0.029126213592233
7 2 31 35 "Objects" "Faces" 45 "Match" 3000 1 1154 1 0.04
7 3 50.5 54.5 "Faces" "Bodies" 64.5 "Match" 2500 1 1213 1 0.00980392156862745
7 4 69.5 73.5 "Objects" "Scenes" 83.5 "Match" 3500 1 1132 1 0.0594059405940594
7 5 89.5 93.5 "Bodies" "Scenes" 103.5 "Match" 5000 1 810 1 0
7 6 111 115 "Faces" "Objects" 125 "Mismatch" 1500 2 1108 1 0.04
7 7 129 133 "Faces" "Bodies" 143 "Mismatch" 1500 2 940 1 0.00980392156862745
7 8 147 151 "Scenes" "Bodies" 161 "Mismatch" 2000 1 2227 0 0
7 9 165.5 169.5 "Bodies" "Objects" 179.5 "Mismatch" 3000 1 1294 0 0.07
7 10 185 189 "Objects" "Bodies" 199 "Mismatch" 2000 2 2785 1 0.07
7 11 203.5 207.5 "Objects" "Scenes" 217.5 "Mismatch" 3000 2 2164 1 0.0594059405940594
7 12 223 227 "Scenes" "Faces" 237 "Mismatch" 3500 2 1383 1 0.029126213592233
7 13 243 247 "Scenes" "Objects" 257 "Match" 3500 1 1173 1 0.0594059405940594
7 14 263 267 "Bodies" "Scenes" 277 "Mismatch" 4000 1 2803 0 0
7 15 283.5 287.5 "Scenes" "Bodies" 297.5 "Match" 4500 1 1326 1 0
7 16 304.5 308.5 "Bodies" "Faces" 318.5 "Match" 2000 1 1748 1 0.00980392156862745
7 17 323 327 "Scenes" "Objects" 337 "Mismatch" 4500 2 2343 1 0.0594059405940594
7 18 344 348 "Objects" "Faces" 358 "Mismatch" 2500 2 1700 1 0.04
7 19 363 367 "Bodies" "Faces" 377 "Mismatch" 5000 2 3186 1 0.00980392156862745
7 20 384.5 388.5 "Bodies" "Objects" 398.5 "Match" 2500 1 1044 1 0.07
7 21 403.5 407.5 "Scenes" "Faces" 417.5 "Match" 1500 1 1218 1 0.029126213592233
7 22 421.5 425.5 "Faces" "Scenes" 435.5 "Match" 5000 1 2424 1 0.029126213592233
7 23 443 447 "Faces" "Objects" 457 "Match" 4000 1 2482 1 0.04
7 24 463.5 467.5 "Objects" "Bodies" 477.5 "Match" 4000 1 981 1 0.07
