"Run" "Item" "FourPicsOnset" "CueOnset" "Cue" "ToBeIgnored" "ProbePicOnset" "Probe" "Jitter" "Response" "RT" "Accuracy" "sim"
6 1 10 14 "Faces" "Objects" 24 "Match" 3500 1 1836 1 0.04
6 2 30 34 "Scenes" "Faces" 44 "Match" 4500 2 1729 0 0.029126213592233
6 3 51 55 "Objects" "Scenes" 65 "Match" 3000 2 1151 0 0.0594059405940594
6 4 70.5 74.5 "Bodies" "Faces" 84.5 "Mismatch" 1500 1 2106 0 0.00980392156862745
6 5 88.5 92.5 "Scenes" "Bodies" 102.5 "Match" 3000 1 1377 1 0
6 6 108 112 "Faces" "Bodies" 122 "Match" 4500 1 1020 1 0.00980392156862745
6 7 129 133 "Faces" "Scenes" 143 "Match" 1500 1 857 1 0.029126213592233
6 8 147 151 "Faces" "Bodies" 161 "Mismatch" 4000 2 1417 1 0.00980392156862745
6 9 167.5 171.5 "Faces" "Objects" 181.5 "Mismatch" 3000 2 1211 1 0.04
6 10 187 191 "Scenes" "Objects" 201 "Match" 2500 1 1357 1 0.0594059405940594
6 11 206 210 "Objects" "Bodies" 220 "Match" 5000 1 861 1 0.07
6 12 227.5 231.5 "Scenes" "Objects" 241.5 "Mismatch" 3500 2 1285 1 0.0594059405940594
6 13 247.5 251.5 "Bodies" "Scenes" 261.5 "Mismatch" 5000 2 1116 1 0
6 14 269 273 "Objects" "Scenes" 283 "Mismatch" 4000 2 1446 1 0.0594059405940594
6 15 289.5 293.5 "Bodies" "Scenes" 303.5 "Match" 2000 1 1106 1 0
6 16 308 312 "Scenes" "Faces" 322 "Mismatch" 4500 2 1356 1 0.029126213592233
6 17 329 333 "Bodies" "Objects" 343 "Match" 2500 1 1138 1 0.07
6 18 348 352 "Faces" "Scenes" 362 "Mismatch" 5000 2 1040 1 0.029126213592233
6 19 369.5 373.5 "Bodies" "Faces" 383.5 "Match" 4000 1 1019 1 0.00980392156862745
6 20 390 394 "Bodies" "Objects" 404 "Mismatch" 2000 1 902 0 0.07
6 21 408.5 412.5 "Objects" "Bodies" 422.5 "Mismatch" 2000 2 2353 1 0.07
6 22 427 431 "Scenes" "Bodies" 441 "Mismatch" 3500 2 1835 1 0
6 23 447 451 "Objects" "Faces" 461 "Mismatch" 1500 1 1098 0 0.04
6 24 465 469 "Objects" "Faces" 479 "Match" 2500 1 1608 1 0.04
