"Run" "Item" "FourPicsOnset" "CueOnset" "Cue" "ToBeIgnored" "ProbePicOnset" "Probe" "Jitter" "Response" "RT" "Accuracy" "sim"
5 1 10 14 "Objects" "Faces" 24 "Mismatch" 2500 2 2868 1 0.04
5 2 29 33 "Faces" "Bodies" 43 "Mismatch" 2000 2 1085 1 0.00980392156862745
5 3 47.5 51.5 "Objects" "Faces" 61.5 "Match" 5000 1 1247 1 0.04
5 4 69 73 "Scenes" "Bodies" 83 "Match" 3500 2 1290 0 0
5 5 89 93 "Faces" "Scenes" 103 "Match" 4000 1 1183 1 0.029126213592233
5 6 109.5 113.5 "Bodies" "Faces" 123.5 "Mismatch" 4500 2 1962 1 0.00980392156862745
5 7 130.5 134.5 "Scenes" "Faces" 144.5 "Mismatch" 4000 1 2776 0 0.029126213592233
5 8 151 155 "Objects" "Scenes" 165 "Mismatch" 4500 2 2761 1 0.0594059405940594
5 9 172 176 "Bodies" "Objects" 186 "Mismatch" 5000 2 1585 1 0.07
5 10 193.5 197.5 "Objects" "Bodies" 207.5 "Mismatch" 1500 2 1611 1 0.07
5 11 211.5 215.5 "Objects" "Bodies" 225.5 "Match" 5000 1 2154 1 0.07
5 12 233 237 "Faces" "Objects" 247 "Match" 3500 2 812 0 0.04
5 13 253 257 "Scenes" "Objects" 267 "Match" 4000 1 2082 1 0.0594059405940594
5 14 273.5 277.5 "Bodies" "Faces" 287.5 "Match" 4500 1 1556 1 0.00980392156862745
5 15 294.5 298.5 "Bodies" "Objects" 308.5 "Match" 1500 1 908 1 0.07
5 16 312.5 316.5 "Objects" "Scenes" 326.5 "Match" 2500 2 1162 0 0.0594059405940594
5 17 331.5 335.5 "Faces" "Bodies" 345.5 "Match" 3000 1 1145 1 0.00980392156862745
5 18 351 355 "Scenes" "Objects" 365 "Mismatch" 2500 2 1171 1 0.0594059405940594
5 19 370 374 "Scenes" "Bodies" 384 "Mismatch" 3000 2 2522 1 0
5 20 389.5 393.5 "Faces" "Scenes" 403.5 "Mismatch" 2000 2 1110 1 0.029126213592233
5 21 408 412 "Bodies" "Scenes" 422 "Match" 3000 1 2185 1 0
5 22 427.5 431.5 "Bodies" "Scenes" 441.5 "Mismatch" 2000 2 1109 1 0
5 23 446 450 "Faces" "Objects" 460 "Mismatch" 3500 2 1129 1 0.04
5 24 466 470 "Scenes" "Faces" 480 "Match" 1500 1 2254 1 0.029126213592233
