Subj	Crop_from_beginning	Crop_from_end
1	20	7
2	20	7
3	20	6
4	6	13
5	20	8
6	20	7
7	20	6
8	20	5
9	20	4
10	20	6
11	20	3
12	20	5
13	20	5
14	20	6
15	20	3
16	20	5
